iter	Passed	Remaining
418	2434	3376
419	2440	3369
420	2445	3363
421	2450	3356
422	2455	3349
423	2461	3343
424	2466	3337
425	2472	3331
426	2477	3325
427	2483	3319
428	2488	3312
429	2493	3305
430	2499	3299
431	2504	3293
432	2509	3286
433	2515	3280
434	2520	3273
435	2525	3267
436	2531	3260
437	2536	3254
438	2541	3248
439	2547	3242
440	2554	3237
441	2560	3232
442	2565	3226
443	2571	3220
444	2577	3214
445	2582	3207
446	2587	3200
447	2593	3195
448	2598	3188
449	2603	3182
450	2609	3175
451	2614	3169
452	2620	3163
453	2625	3157
454	2631	3151
455	2636	3145
456	2641	3139
457	2647	3132
458	2652	3126
459	2657	3119
460	2663	3113
461	2668	3107
462	2673	3101
463	2679	3094
464	2685	3089
465	2690	3082
466	2695	3076
467	2701	3070
468	2707	3064
469	2712	3058
470	2718	3052
471	2723	3046
472	2728	3040
473	2734	3034
474	2739	3028
475	2745	3022
476	2751	3016
477	2757	3010
478	2762	3004
479	2768	2999
480	2773	2992
481	2778	2986
482	2783	2979
483	2788	2973
484	2794	2967
485	2799	2961
486	2804	2954
487	2810	2949
488	2816	2943
489	2821	2936
490	2827	2930
491	2832	2924
492	2837	2918
493	2843	2912
494	2849	2906
495	2855	2901
496	2861	2895
497	2866	2889
498	2872	2884
499	2878	2878
500	2883	2872
501	2889	2866
502	2894	2859
503	2899	2853
504	2904	2846
505	2909	2840
506	2914	2834
507	2920	2828
508	2925	2822
509	2931	2816
510	2937	2810
511	2942	2804
512	2948	2798
513	2953	2792
514	2958	2786
515	2964	2780
516	2969	2774
517	2974	2768
518	2980	2762
519	2985	2756
520	2991	2750
521	2996	2744
522	3002	2738
523	3007	2732
524	3012	2725
525	3018	2719
526	3023	2713
527	3029	2707
528	3034	2702
529	3040	2695
530	3045	2689
531	3050	2683
532	3055	2677
533	3060	2671
534	3065	2664
535	3071	2659
536	3077	2653
537	3083	2647
538	3088	2641
539	3093	2635
540	3099	2629
541	3105	2624
542	3111	2618
543	3116	2612
544	3122	2606
545	3127	2600
546	3133	2594
547	3139	2589
548	3144	2583
549	3150	2577
550	3156	2571
551	3161	2565
552	3167	2560
553	3172	2554
554	3178	2548
555	3183	2542
556	3188	2536
557	3193	2529
558	3198	2523
559	3204	2517
560	3209	2511
561	3214	2505
562	3219	2499
563	3224	2493
564	3230	2487
565	3236	2481
566	3241	2475
567	3247	2469
568	3252	2463
569	3258	2457
570	3263	2451
571	3268	2445
572	3274	2439
573	3279	2434
574	3284	2427
575	3289	2421
576	3295	2415
577	3301	2410
578	3306	2403
579	3311	2398
580	3316	2392
581	3322	2386
582	3327	2379
583	3332	2373
584	3338	2368
585	3343	2361
586	3348	2355
587	3353	2349
588	3359	2344
589	3365	2338
590	3370	2332
591	3375	2326
592	3380	2320
593	3386	2314
594	3391	2308
595	3397	2302
596	3402	2296
597	3407	2290
598	3413	2284
599	3418	2279
600	3424	2273
601	3429	2267
602	3434	2261
603	3440	2255
604	3445	2249
605	3451	2243
606	3456	2238
607	3462	2232
608	3467	2226
609	3473	2220
610	3478	2214
611	3484	2208
612	3490	2203
613	3496	2198
614	3502	2192
615	3507	2186
616	3512	2180
617	3518	2174
618	3523	2168
619	3528	2162
620	3533	2156
621	3539	2150
622	3544	2144
623	3549	2138
624	3554	2132
625	3560	2127
626	3565	2121
627	3571	2115
628	3577	2110
629	3582	2104
630	3585	2096
631	3590	2090
632	3595	2084
633	3601	2078
634	3606	2072
635	3611	2067
636	3617	2061
637	3622	2055
638	3628	2049
639	3634	2044
640	3640	2038
641	3646	2033
642	3652	2027
643	3657	2021
644	3662	2015
645	3667	2009
646	3672	2003
647	3678	1998
648	3683	1992
649	3689	1986
650	3694	1980
651	3699	1974
652	3705	1968
653	3710	1963
654	3716	1957
655	3721	1951
656	3726	1945
657	3732	1939
658	3736	1933
659	3741	1927
660	3747	1921
661	3752	1916
662	3758	1910
663	3763	1904
664	3769	1898
665	3774	1892
666	3779	1887
667	3785	1881
668	3790	1875
669	3796	1869
670	3801	1863
671	3807	1858
672	3813	1852
673	3819	1847
674	3825	1841
675	3830	1836
676	3836	1830
677	3841	1824
678	3846	1818
679	3852	1812
680	3856	1806
681	3862	1800
682	3867	1794
683	3872	1789
684	3878	1783
685	3883	1777
686	3888	1771
687	3893	1765
688	3899	1760
689	3904	1754
690	3910	1748
691	3915	1742
692	3920	1736
693	3926	1731
694	3931	1725
695	3936	1719
696	3941	1713
697	3947	1707
698	3952	1702
699	3958	1696
700	3963	1690
701	3969	1685
702	3974	1679
703	3980	1673
704	3986	1667
705	3991	1662
706	3997	1656
707	4002	1650
708	4008	1645
709	4014	1639
710	4019	1633
711	4025	1628
712	4030	1622
713	4035	1616
714	4041	1610
715	4047	1605
716	4052	1599
717	4057	1593
718	4063	1588
719	4068	1582
720	4073	1576
721	4078	1570
722	4083	1564
723	4089	1558
724	4094	1552
725	4099	1547
726	4104	1541
727	4111	1535
728	4116	1530
729	4122	1524
730	4127	1519
731	4133	1513
732	4138	1507
733	4143	1501
734	4148	1495
735	4154	1490
736	4159	1484
737	4165	1478
738	4171	1473
739	4177	1467
740	4183	1462
741	4188	1456
742	4194	1450
743	4199	1444
744	4204	1439
745	4209	1433
746	4214	1427
747	4220	1421
748	4225	1416
749	4231	1410
750	4236	1404
751	4242	1398
752	4247	1393
753	4253	1387
754	4258	1381
755	4263	1376
756	4268	1370
757	4273	1364
758	4279	1358
759	4285	1353
760	4290	1347
761	4296	1341
762	4301	1336
763	4306	1330
764	4311	1324
765	4316	1318
766	4322	1312
767	4327	1307
768	4332	1301
769	4338	1295
770	4344	1290
771	4349	1284
772	4355	1278
773	4360	1273
774	4365	1267
775	4372	1262
776	4377	1256
777	4382	1250
778	4387	1244
779	4392	1238
780	4398	1233
781	4403	1227
782	4408	1221
783	4414	1216
784	4419	1210
785	4424	1204
786	4429	1198
787	4434	1193
788	4441	1187
789	4446	1182
790	4453	1176
791	4459	1171
792	4464	1165
793	4470	1159
794	4476	1154
795	4481	1148
796	4487	1143
797	4493	1137
798	4498	1131
799	4504	1126
800	4509	1120
801	4514	1114
802	4520	1109
